algorithm,numbins,numitems,bitsperitem,instance_id,diff,runtime
integer-programming,2,100,16,5,0.0,0.497944700000005
integer-programming,2,100,16,6,1.0,0.2788906000000111
integer-programming,2,100,16,7,1.0,0.2170675000000415
integer-programming,2,100,16,8,1.0,0.24709089999998923
integer-programming,2,100,16,9,0.0,0.027206900000010137
complete-greedy,2,10,16,0,489.0,0.0019075999999813575
complete-greedy,2,10,16,1,27.0,0.0019944999999665924
complete-greedy,2,10,16,2,353.0,0.001697399999954996
complete-greedy,2,10,16,3,24.0,0.002227999999945496
complete-greedy,2,10,16,4,394.0,0.003880800000047202
complete-greedy,2,10,16,5,144.0,0.005861100000004171
complete-greedy,2,10,16,6,115.0,0.002022399999987101
complete-greedy,2,10,16,7,7.0,0.003934700000002067
complete-greedy,2,10,16,8,35.0,0.0017889000000081978
complete-greedy,2,10,16,9,255.0,0.0033583000000021457
complete-greedy,2,10,24,0,27868.0,0.0009962999999970634
complete-greedy,2,10,24,1,26281.0,0.002263200000015786
complete-greedy,2,10,24,2,69061.0,0.0017526999999972759
complete-greedy,2,10,24,3,67520.0,0.004007300000012037
complete-greedy,2,10,24,4,93525.0,0.0030821999999943728
complete-greedy,2,10,24,5,2758.0,0.00316970000000083
complete-greedy,2,10,24,6,155447.0,0.002607500000010532
complete-greedy,2,10,24,7,26146.0,0.004236199999979817
complete-greedy,2,10,24,8,71688.0,0.002569800000003397
complete-greedy,2,10,24,9,59441.0,0.0033017000000086227
complete-greedy,2,10,32,0,8366606.0,0.004514800000038122
complete-greedy,2,10,32,1,45299347.0,0.0021225999999501255
complete-greedy,2,10,32,2,4116957.0,0.0024410999999986416
complete-greedy,2,10,32,3,22342359.0,0.002022399999987101
complete-greedy,2,10,32,4,18408611.0,0.002744999999947595
complete-greedy,2,10,32,5,19732410.0,0.0013271999999915352
complete-greedy,2,10,32,6,11479916.0,0.0026460000000270156
complete-greedy,2,10,32,7,34170830.0,0.004173100000002705
complete-greedy,2,10,32,8,53148406.0,0.0019582999999556705
complete-greedy,2,10,32,9,3586188.0,0.00265919999998232
complete-greedy,2,10,48,0,3151099296570.0,0.0021038000000430657
complete-greedy,2,10,48,1,1467802648058.0,0.003198999999995067
complete-greedy,2,10,48,2,318599546983.0,0.0033834999999839965
complete-greedy,2,10,48,3,230362152752.0,0.0024625000000355612
complete-greedy,2,10,48,4,9121115604137.0,0.0038084999999909996
complete-greedy,2,10,48,5,406055865568.0,0.0020148000000403954
complete-greedy,2,10,48,6,331588434450.0,0.002908999999988282
complete-greedy,2,10,48,7,816575946134.0,0.0022857000000158223
complete-greedy,2,10,48,8,3509764153586.0,0.0022551999999791406
complete-greedy,2,10,48,9,1013579763689.0,0.002157300000021678
complete-greedy,2,12,16,0,1.0,0.005866000000025906
complete-greedy,2,12,16,1,69.0,0.005873699999995097
complete-greedy,2,12,16,2,135.0,0.01143930000000637
complete-greedy,2,12,16,3,27.0,0.0067748999999821535
complete-greedy,2,12,16,4,148.0,0.006934400000034202
complete-greedy,2,12,16,5,100.0,0.005348599999990711
complete-greedy,2,12,16,6,453.0,0.003689699999995355
complete-greedy,2,12,16,7,236.0,0.006149600000014743
complete-greedy,2,12,16,8,73.0,0.0053245999999944615
complete-greedy,2,12,16,9,46.0,0.010281200000008539
complete-greedy,2,12,24,0,8518.0,0.011443600000006882
complete-greedy,2,12,24,1,26400.0,0.0060540999999716405
complete-greedy,2,12,24,2,44551.0,0.006372300000009545
complete-greedy,2,12,24,3,104071.0,0.003521799999987252
complete-greedy,2,12,24,4,374.0,0.005857499999990523
complete-greedy,2,12,24,5,9486.0,0.007767799999953695
complete-greedy,2,12,24,6,46014.0,0.005019399999980578
complete-greedy,2,12,24,7,11276.0,0.009930799999949613
complete-greedy,2,12,24,8,20367.0,0.003198099999963233
complete-greedy,2,12,24,9,55872.0,0.008206100000052174
complete-greedy,2,12,32,0,7866743.0,0.0074806999999736945
complete-greedy,2,12,32,1,5040231.0,0.00496770000000879
complete-greedy,2,12,32,2,4167772.0,0.005524999999977354
complete-greedy,2,12,32,3,1373798.0,0.00884880000000976
complete-greedy,2,12,32,4,9477857.0,0.011704800000018167
complete-greedy,2,12,32,5,2259534.0,0.006087099999945167
complete-greedy,2,12,32,6,1556363.0,0.006866399999978512
complete-greedy,2,12,32,7,5452562.0,0.005832900000029895
