algorithm,numbins,numitems,bitsperitem,instance_id,diff,runtime
integer-programming,6,10,8,2,131.0,0.4570715999998356
integer-programming,6,10,8,3,61.0,0.6461949000004097
integer-programming,6,10,8,4,27.0,1.0674134999999296
integer-programming,6,10,8,5,94.0,0.5975022000002355
integer-programming,6,10,8,6,104.0,0.5583262999998624
integer-programming,6,10,8,7,84.0,0.9038655000003928
integer-programming,6,10,8,8,77.0,0.5070331999995688
integer-programming,6,10,8,9,55.0,0.4879869000005783
integer-programming,6,10,10,0,157.0,0.7352569000004223
integer-programming,6,10,10,1,125.0,0.692483099999663
integer-programming,6,10,10,2,205.0,0.590407700000469
integer-programming,6,10,10,3,602.0,1.1139020000000528
integer-programming,6,10,10,4,370.0,1.1073904999993829
integer-programming,6,10,10,5,108.0,1.7625892999994903
integer-programming,6,10,10,6,505.0,3.8585286999996242
integer-programming,6,10,10,7,287.0,1.0036620999999286
integer-programming,6,10,10,8,210.0,0.5963257000003068
integer-programming,6,10,10,9,278.0,1.166877000000568
integer-programming,6,10,12,0,593.0,1.1929880999996385
integer-programming,6,10,12,1,927.0,0.5988846000000194
integer-programming,6,10,12,2,1482.0,0.89276880000034
integer-programming,6,10,12,3,1709.0,0.4042421000003742
integer-programming,6,10,12,4,1392.0,4.10028020000027
integer-programming,6,10,12,5,1726.0,1.6299721000004865
integer-programming,6,10,12,6,699.0,0.858324800000446
integer-programming,6,10,12,7,941.0,0.4873962000001484
integer-programming,6,10,12,8,1018.0,5.125856800000292
integer-programming,6,10,12,9,1264.0,1.19172030000027
integer-programming,6,10,16,0,26053.0,5.106072000000495
integer-programming,6,10,16,1,22112.0,3.132832700000108
integer-programming,6,10,16,2,22197.0,3.5502175000001444
integer-programming,6,10,16,3,13277.0,0.784664600000724
integer-programming,6,10,16,4,5467.0,1.452985400000216
integer-programming,6,10,16,5,30603.0,2.22371480000038
integer-programming,6,10,16,6,21321.0,0.46284800000012183
integer-programming,6,10,16,7,29161.0,0.39196199999969394
integer-programming,6,10,16,8,19957.0,1.0764352000005601
integer-programming,6,10,16,9,38130.0,0.4895030999996379
integer-programming,6,12,8,0,119.0,6.914884200000415
integer-programming,6,12,8,1,88.0,17.29070629999933
integer-programming,6,12,8,2,62.0,7.447633400000086
integer-programming,6,12,8,3,59.0,2.676178499999878
integer-programming,6,12,8,4,48.0,8.617275200000222
integer-programming,6,12,8,5,38.0,5.454201399999874
integer-programming,6,12,8,6,70.0,17.63629039999978
integer-programming,6,12,8,7,62.0,4.777893899999981
integer-programming,6,12,8,8,69.0,34.27051300000039
integer-programming,6,12,10,0,239.0,1.8122423000004346
integer-programming,6,12,10,1,305.0,1.2539432000003217
integer-programming,6,12,10,2,45.0,4.2979906999999
integer-programming,6,12,10,3,165.0,3.660604699999567
integer-programming,6,12,10,4,193.0,4.199422599999707
integer-programming,6,12,10,5,546.0,7.967111699999805
integer-programming,6,12,12,0,756.0,7.739163600000211
integer-programming,6,12,12,1,815.0,2.960860999999568
integer-programming,6,12,12,2,789.0,6.450856999999814
integer-programming,6,12,12,3,1054.0,4.945654599999216
integer-programming,6,12,12,4,343.0,7.988066300000355
integer-programming,6,12,12,5,1235.0,22.938384300000507
integer-programming,6,12,16,0,33712.0,6.151995799999895
integer-programming,6,12,16,1,9648.0,4.343010600000525
integer-programming,6,12,16,2,12054.0,7.738360199999988
integer-programming,6,12,16,3,8236.0,3.761523400000442
integer-programming,6,12,16,4,11621.0,4.801357800000005
integer-programming,6,12,16,5,11895.0,11.458993100000043
integer-programming,6,14,8,0,10.0,18.578713699999753
complete-greedy,3,10,8,0,6.0,0.0037050999999337364
complete-greedy,3,10,8,1,6.0,0.0022914000001037493
complete-greedy,3,10,8,2,12.0,0.008358600000065053
complete-greedy,3,10,8,3,8.0,0.005686700000296696
complete-greedy,3,10,8,4,11.0,0.004831399999602581
complete-greedy,3,10,8,5,10.0,0.0036430999998628977
complete-greedy,3,10,8,6,2.0,0.0016722000000299886
complete-greedy,3,10,8,7,7.0,0.005153999999492953
complete-greedy,3,10,8,8,5.0,0.00540019999971264
complete-greedy,3,10,8,9,19.0,0.0024718000004213536
complete-greedy,3,10,10,0,69.0,0.023767200000293087
complete-greedy,3,10,10,1,27.0,0.007154900000386988
complete-greedy,3,10,10,2,26.0,0.0057253999993918114
complete-greedy,3,10,10,3,18.0,0.003828599999906146
complete-greedy,3,10,10,4,22.0,0.0029262999996717554
complete-greedy,3,10,10,5,19.0,0.00392680000004475
complete-greedy,3,10,10,6,40.0,0.0019710999995368184
complete-greedy,3,10,10,7,60.0,0.0050628999997570645
complete-greedy,3,10,10,8,26.0,0.002341500000511587
complete-greedy,3,10,10,9,26.0,0.004495000000133587
complete-greedy,3,10,12,0,98.0,0.005360699999982899
complete-greedy,3,10,12,1,42.0,0.008994699999675504
complete-greedy,3,10,12,2,78.0,0.005213500000536442
complete-greedy,3,10,12,3,68.0,0.004124299999602954
complete-greedy,3,10,12,4,180.0,0.0034009999999398133
complete-greedy,3,10,12,5,139.0,0.003951800000322692
complete-greedy,3,10,12,6,214.0,0.007600200000524637
complete-greedy,3,10,12,7,227.0,0.0030806000004304224
complete-greedy,3,10,12,8,933.0,0.0011721000000761705
complete-greedy,3,10,12,9,26.0,0.002170499999920139
complete-greedy,3,10,16,0,1283.0,0.006976700000450364
complete-greedy,3,10,16,1,1333.0,0.004286299999876064
complete-greedy,3,10,16,2,1048.0,0.005284900000333437
complete-greedy,3,10,16,3,2456.0,0.0062888000002203626
complete-greedy,3,10,16,4,1863.0,0.008208700000068347
complete-greedy,3,10,16,5,1141.0,0.0024796999996397062
complete-greedy,3,10,16,6,1945.0,0.003946499999983644
complete-greedy,3,10,16,7,1101.0,0.004541199999948731
complete-greedy,3,10,16,8,644.0,0.008846300000186602
complete-greedy,3,10,16,9,4943.0,0.003918399999747635
complete-greedy,3,12,8,0,2.0,0.017426999999770487
complete-greedy,3,12,8,1,3.0,0.03492080000069109
complete-greedy,3,12,8,2,1.0,0.0032760999993115547
complete-greedy,3,12,8,3,4.0,0.02096019999953569
complete-greedy,3,12,8,4,11.0,0.04222790000039822
complete-greedy,3,12,8,5,3.0,0.007265399999596411
complete-greedy,3,12,8,6,2.0,0.006158299999697192
complete-greedy,3,12,8,7,2.0,0.004969399999936286
complete-greedy,3,12,8,8,16.0,0.014668400000118709
complete-greedy,3,12,8,9,2.0,0.015997499999684806
complete-greedy,3,12,10,0,7.0,0.04844479999974283
complete-greedy,3,12,10,1,137.0,0.005104799999571696
complete-greedy,3,12,10,2,5.0,0.010378900000432623
complete-greedy,3,12,10,3,4.0,0.006247299999813549
complete-greedy,3,12,10,4,5.0,0.033245200000237674
complete-greedy,3,12,10,5,7.0,0.005592200000137382
complete-greedy,3,12,10,6,6.0,0.005743400000028487
complete-greedy,3,12,10,7,26.0,0.004712900000413356
complete-greedy,3,12,10,8,4.0,0.047293599999647995
complete-greedy,3,12,10,9,11.0,0.026061399999889545
complete-greedy,3,12,12,0,67.0,0.009096699999645352
complete-greedy,3,12,12,1,1.0,0.01499359999979788
complete-greedy,3,12,12,2,79.0,0.015091400000528665
complete-greedy,3,12,12,3,64.0,0.023760699999911594
complete-greedy,3,12,12,4,56.0,0.046756799999457144
complete-greedy,3,12,12,5,34.0,0.0065470000008645
complete-greedy,3,12,12,6,11.0,0.010450199999468168
complete-greedy,3,12,12,7,29.0,0.03032489999986865
complete-greedy,3,12,12,8,14.0,0.017592299999705574
complete-greedy,3,12,12,9,21.0,0.017821500000536616
complete-greedy,3,12,16,0,1072.0,0.05767879999984871
complete-greedy,3,12,16,1,791.0,0.02994750000016211
