numitems,bitsperitem,algorithm,numbins,instance_id,diff,runtime
10,24,recursive-number-partitioning-sy,2,7,51616.0,0.0051109999999994216
10,24,recursive-number-partitioning-sy,2,8,194906.0,0.005172899999990932
10,24,recursive-number-partitioning-sy,2,9,33639.0,0.005404099999992695
10,24,recursive-number-partitioning-sy,3,0,206705.0,0.005462199999982431
10,24,recursive-number-partitioning-sy,3,1,404497.0,0.0028667999999925087
10,24,recursive-number-partitioning-sy,3,2,392415.0,0.010300499999999602
10,24,recursive-number-partitioning-sy,3,3,242100.0,0.005075299999987237
10,24,recursive-number-partitioning-sy,3,4,1430443.0,0.02423000000001707
10,24,recursive-number-partitioning-sy,3,5,340172.0,0.00612580000000662
10,24,recursive-number-partitioning-sy,3,6,115695.0,0.004709000000019614
10,24,recursive-number-partitioning-sy,3,7,462456.0,0.0047485999999992146
10,24,recursive-number-partitioning-sy,3,8,166850.0,0.01137860000000046
10,24,recursive-number-partitioning-sy,3,9,901852.0,0.017700399999995398
10,24,recursive-number-partitioning-sy,4,0,961669.0,0.012323699999996052
10,24,recursive-number-partitioning-sy,4,1,1461796.0,0.018926100000015822
10,24,recursive-number-partitioning-sy,4,2,1475036.0,0.011324599999994689
10,24,recursive-number-partitioning-sy,4,3,1525659.0,0.017098199999992403
10,24,recursive-number-partitioning-sy,4,4,1913447.0,0.01611579999999435
10,24,recursive-number-partitioning-sy,4,5,3694785.0,0.015229500000003782
10,24,recursive-number-partitioning-sy,4,6,1909333.0,0.017624500000010812
10,24,recursive-number-partitioning-sy,4,7,877175.0,0.01373630000000503
10,24,recursive-number-partitioning-sy,4,8,1968999.0,0.025904699999983904
10,24,recursive-number-partitioning-sy,4,9,720111.0,0.010941599999995333
10,32,recursive-number-partitioning-kg,2,0,511549524.0,0.0019885000000101627
10,32,recursive-number-partitioning-kg,2,1,146299681.0,0.0028175000000203454
10,32,recursive-number-partitioning-kg,2,2,6559965.0,0.002757900000005975
10,32,recursive-number-partitioning-kg,2,3,210640625.0,0.002504700000002913
10,32,recursive-number-partitioning-kg,2,4,22289279.0,0.003082299999988436
10,32,recursive-number-partitioning-kg,2,5,64352130.0,0.003698900000017602
10,32,recursive-number-partitioning-kg,2,6,27188909.0,0.0036200999999778105
10,32,recursive-number-partitioning-kg,2,7,296240177.0,0.0032568999999966763
10,32,recursive-number-partitioning-kg,2,8,14219722.0,0.0011240000000043437
10,32,recursive-number-partitioning-kg,2,9,117476461.0,0.003552600000006123
10,32,recursive-number-partitioning-sy,2,0,10833995.0,0.005064800000013747
10,32,recursive-number-partitioning-sy,2,1,4757412.0,0.003931200000010904
10,32,recursive-number-partitioning-sy,2,2,20222759.0,0.002282000000008111
10,32,recursive-number-partitioning-sy,2,3,6676337.0,0.0032780999999886262
10,32,recursive-number-partitioning-sy,2,4,19939351.0,0.004212299999977631
10,32,recursive-number-partitioning-sy,2,5,16846593.0,0.005025699999976041
10,32,recursive-number-partitioning-sy,2,6,7941121.0,0.004879399999992984
10,32,recursive-number-partitioning-sy,2,7,22840876.0,0.0024886999999864656
10,32,recursive-number-partitioning-sy,2,8,4735781.0,0.004713699999996379
10,32,recursive-number-partitioning-sy,2,9,5083746.0,0.004842099999990523
10,32,recursive-number-partitioning-sy,3,0,79723617.0,0.0026939999999910924
10,32,recursive-number-partitioning-sy,3,1,249465732.0,0.017782299999993256
10,32,recursive-number-partitioning-sy,3,2,67992747.0,0.0046720999999934065
10,32,recursive-number-partitioning-sy,3,3,75166989.0,0.008006999999992104
10,32,recursive-number-partitioning-sy,3,4,52379786.0,0.0038473000000180946
10,32,recursive-number-partitioning-sy,3,5,18926058.0,0.003113700000000108
10,32,recursive-number-partitioning-sy,3,6,119093343.0,0.010006100000026663
10,32,recursive-number-partitioning-sy,3,7,74264634.0,0.00829169999997248
10,32,recursive-number-partitioning-sy,3,8,24862174.0,0.008624400000002197
10,32,recursive-number-partitioning-sy,3,9,12317523.0,0.002824400000008609
10,32,recursive-number-partitioning-sy,4,0,529764205.0,0.02966330000000994
10,32,recursive-number-partitioning-sy,4,1,309926918.0,0.01298589999998967
10,32,recursive-number-partitioning-sy,4,2,336081935.0,0.010601000000008298
10,32,recursive-number-partitioning-sy,4,3,294382491.0,0.018843699999990804
10,32,recursive-number-partitioning-sy,4,4,391729377.0,0.013687299999986635
10,32,recursive-number-partitioning-sy,4,5,1064835657.0,0.03946569999999383
10,32,recursive-number-partitioning-sy,4,6,78941561.0,0.007840500000014572
10,32,recursive-number-partitioning-sy,4,7,237468178.0,0.01428669999998533
10,32,recursive-number-partitioning-sy,4,8,327985609.0,0.0176817999999912
10,32,recursive-number-partitioning-sy,4,9,241522477.0,0.016494499999993195
12,8,recursive-number-partitioning-kg,2,0,2.0,0.0061522000000024946
12,8,recursive-number-partitioning-kg,2,1,2.0,0.004622600000004695
12,8,recursive-number-partitioning-kg,2,2,3.0,0.011387800000022708
12,8,recursive-number-partitioning-kg,2,3,0.0,0.010834399999993138
12,8,recursive-number-partitioning-kg,2,4,1.0,0.012102599999991526
12,8,recursive-number-partitioning-kg,2,5,1.0,0.0036538999999891075
12,8,recursive-number-partitioning-kg,2,6,0.0,0.0120668000000137
12,8,recursive-number-partitioning-kg,2,7,1.0,0.011112900000000536
12,8,recursive-number-partitioning-kg,2,8,2.0,0.010711400000019466
12,8,recursive-number-partitioning-kg,2,9,0.0,0.00794440000001373
12,8,recursive-number-partitioning-sy,2,0,0.0,0.0001680999999962296
12,8,recursive-number-partitioning-sy,2,1,0.0,0.00015550000000530417
12,8,recursive-number-partitioning-sy,2,2,1.0,0.012431399999996984
12,8,recursive-number-partitioning-sy,2,3,0.0,0.00015319999999974243
12,8,recursive-number-partitioning-sy,2,4,0.0,0.015196799999984023
12,8,recursive-number-partitioning-sy,2,5,1.0,0.01703200000000038
12,8,recursive-number-partitioning-sy,2,6,0.0,0.0007053999999868665
12,8,recursive-number-partitioning-sy,2,7,0.0,0.00017719999999599167
12,8,recursive-number-partitioning-sy,2,8,0.0,0.010501699999991843
12,8,recursive-number-partitioning-sy,2,9,2.0,0.019571500000012065
12,8,recursive-number-partitioning-sy,3,0,1.0,0.04054219999997599
12,8,recursive-number-partitioning-sy,3,1,3.0,0.009459700000007842
12,8,recursive-number-partitioning-sy,3,2,3.0,0.07829029999999193
12,8,recursive-number-partitioning-sy,3,3,1.0,0.034800699999976814
12,8,recursive-number-partitioning-sy,3,4,7.0,0.0956602999999916
12,8,recursive-number-partitioning-sy,3,5,6.0,0.043419499999998834
12,8,recursive-number-partitioning-sy,3,6,1.0,0.051655500000009624
12,8,recursive-number-partitioning-sy,3,7,10.0,0.17474569999998835
12,8,recursive-number-partitioning-sy,3,8,3.0,0.01448020000000838
12,8,recursive-number-partitioning-sy,3,9,1.0,0.017104399999993802
12,8,recursive-number-partitioning-sy,4,0,14.0,0.015588199999996277
12,8,recursive-number-partitioning-sy,4,1,37.0,0.0013909000000182914
12,8,recursive-number-partitioning-sy,4,2,4.0,0.012227700000011055
12,8,recursive-number-partitioning-sy,4,3,10.0,0.03604290000001242
12,8,recursive-number-partitioning-sy,4,4,33.0,0.001166100000006054
12,8,recursive-number-partitioning-sy,4,5,13.0,0.039390399999973624
12,8,recursive-number-partitioning-sy,4,6,15.0,0.0602561000000037
12,8,recursive-number-partitioning-sy,4,7,5.0,0.044745699999992894
12,8,recursive-number-partitioning-sy,4,8,9.0,0.004920099999992544
12,8,recursive-number-partitioning-sy,4,9,3.0,0.004267499999997426
12,12,recursive-number-partitioning-kg,2,0,60.0,0.007770499999992353
12,12,recursive-number-partitioning-kg,2,1,22.0,0.011337299999979678
12,12,recursive-number-partitioning-kg,2,2,0.0,0.012552999999996928
12,12,recursive-number-partitioning-kg,2,3,27.0,0.007583799999991925
12,12,recursive-number-partitioning-kg,2,4,36.0,0.013285199999984343
12,12,recursive-number-partitioning-kg,2,5,254.0,0.006573400000007723
12,12,recursive-number-partitioning-kg,2,6,36.0,0.014011600000003455
12,12,recursive-number-partitioning-kg,2,7,5.0,0.0047565999999790165
12,12,recursive-number-partitioning-kg,2,8,10.0,0.01252879999998413
12,12,recursive-number-partitioning-kg,2,9,104.0,0.0058474000000217075
12,12,recursive-number-partitioning-sy,2,0,9.0,0.011294099999986429
12,12,recursive-number-partitioning-sy,2,1,12.0,0.013850099999984877
12,12,recursive-number-partitioning-sy,2,2,2.0,0.01799679999999171
12,12,recursive-number-partitioning-sy,2,3,10.0,0.020111700000001065
12,12,recursive-number-partitioning-sy,2,4,2.0,0.016628499999995938
12,12,recursive-number-partitioning-sy,2,5,4.0,0.006781699999976354
12,12,recursive-number-partitioning-sy,2,6,8.0,0.014745299999987083
12,12,recursive-number-partitioning-sy,2,7,1.0,0.01576060000002144
12,12,recursive-number-partitioning-sy,2,8,12.0,0.015312699999981305
12,12,recursive-number-partitioning-sy,2,9,4.0,0.013413799999995035
12,12,recursive-number-partitioning-sy,3,0,85.0,0.023734000000018796
12,12,recursive-number-partitioning-sy,3,1,36.0,0.04165699999998651
12,12,recursive-number-partitioning-sy,3,2,23.0,0.008990599999975757
12,12,recursive-number-partitioning-sy,3,3,29.0,0.03950520000000779
12,12,recursive-number-partitioning-sy,3,4,26.0,0.011070599999982278
12,12,recursive-number-partitioning-sy,3,5,92.0,0.04728430000000117
12,12,recursive-number-partitioning-sy,3,6,22.0,0.028162000000008902
12,12,recursive-number-partitioning-sy,3,7,25.0,0.015118800000010424
12,12,recursive-number-partitioning-sy,3,8,23.0,0.020646499999998014
12,12,recursive-number-partitioning-sy,3,9,20.0,0.009931099999988646
12,12,recursive-number-partitioning-sy,4,0,560.0,0.08647909999999115
12,12,recursive-number-partitioning-sy,4,1,244.0,0.049073200000009365
12,12,recursive-number-partitioning-sy,4,2,152.0,0.033598899999987
12,12,recursive-number-partitioning-sy,4,3,590.0,0.13711690000002363
12,12,recursive-number-partitioning-sy,4,4,237.0,0.06419000000002484
12,12,recursive-number-partitioning-sy,4,5,133.0,0.059145099999994954
12,12,recursive-number-partitioning-sy,4,6,64.0,0.04089249999998401
12,12,recursive-number-partitioning-sy,4,7,93.0,0.034744499999987966
12,12,recursive-number-partitioning-sy,4,8,165.0,0.05367409999999495
12,12,recursive-number-partitioning-sy,4,9,143.0,0.03361569999998437
12,16,recursive-number-partitioning-kg,2,0,157.0,0.013104499999997188
12,16,recursive-number-partitioning-kg,2,1,360.0,0.008993500000002541
12,16,recursive-number-partitioning-kg,2,2,1172.0,0.012202000000002045
12,16,recursive-number-partitioning-kg,2,3,619.0,0.006164699999999357
12,16,recursive-number-partitioning-kg,2,4,1067.0,0.012404900000007046
12,16,recursive-number-partitioning-kg,2,5,445.0,0.0073616999999899235
12,16,recursive-number-partitioning-kg,2,6,711.0,0.013150800000005347
12,16,recursive-number-partitioning-kg,2,7,13258.0,0.01325090000000273
12,16,recursive-number-partitioning-kg,2,8,127.0,0.005757299999999077
12,16,recursive-number-partitioning-kg,2,9,74.0,0.013354800000001887
12,16,recursive-number-partitioning-sy,2,0,16.0,0.019167299999992338
12,16,recursive-number-partitioning-sy,2,1,78.0,0.008592399999997724
12,16,recursive-number-partitioning-sy,2,2,75.0,0.013105599999988726
12,16,recursive-number-partitioning-sy,2,3,65.0,0.018394800000010036
12,16,recursive-number-partitioning-sy,2,4,154.0,0.016643199999975877
12,16,recursive-number-partitioning-sy,2,5,23.0,0.012509100000016815
12,16,recursive-number-partitioning-sy,2,6,202.0,0.01750210000000152
12,16,recursive-number-partitioning-sy,2,7,33.0,0.005444199999999455
12,16,recursive-number-partitioning-sy,2,8,23.0,0.01703569999997967
12,16,recursive-number-partitioning-sy,2,9,31.0,0.015028099999994993
12,16,recursive-number-partitioning-sy,3,0,815.0,0.016107199999993327
12,16,recursive-number-partitioning-sy,3,1,1080.0,0.012817900000015925
12,16,recursive-number-partitioning-sy,3,2,766.0,0.02705750000001217
12,16,recursive-number-partitioning-sy,3,3,764.0,0.032402600000011716
12,16,recursive-number-partitioning-sy,3,4,739.0,0.023688500000019985
12,16,recursive-number-partitioning-sy,3,5,1411.0,0.01744650000000547
12,16,recursive-number-partitioning-sy,3,6,573.0,0.03705420000000004
