numitems,bitsperitem,instance_id,objective,use_boolean_matrix,diff,runtime
14,8,0,minimize-largest-sum,False,0,0.0026358000000072934
14,8,0,minimize-largest-sum,True,0,4.40252380000004
14,8,0,maximize-smallest-sum,False,1,0.003165699999954086
14,8,0,maximize-smallest-sum,True,1,2.8030489999999872
14,8,1,minimize-largest-sum,False,1,0.002235599999949045
14,8,1,minimize-largest-sum,True,1,3.7547617000000173
14,8,1,maximize-smallest-sum,False,1,0.0027982999999949243
14,8,1,maximize-smallest-sum,True,1,3.0393940999999813
14,8,2,minimize-largest-sum,False,1,0.002977999999984604
14,8,2,minimize-largest-sum,True,0,5.218699499999957
14,8,2,maximize-smallest-sum,False,0,0.0026153000000022075
14,8,2,maximize-smallest-sum,True,0,4.230317899999932
14,8,3,minimize-largest-sum,False,1,0.0029909999999517822
14,8,3,minimize-largest-sum,True,1,2.976626500000066
14,8,3,maximize-smallest-sum,False,0,0.003191700000002129
14,8,3,maximize-smallest-sum,True,0,2.1772965000000113
14,8,4,minimize-largest-sum,False,1,0.002967099999978018
14,8,4,minimize-largest-sum,True,1,2.9527031999999735
14,8,4,maximize-smallest-sum,False,0,0.00666450000005625
14,8,4,maximize-smallest-sum,True,1,4.082727699999964
14,8,5,minimize-largest-sum,False,0,0.0028458000000455286
14,8,5,minimize-largest-sum,True,1,2.0744528000000173
14,8,5,maximize-smallest-sum,False,0,0.003032200000006924
14,8,5,maximize-smallest-sum,True,1,3.09470060000001
14,8,6,minimize-largest-sum,False,1,0.003158700000085446
14,8,6,minimize-largest-sum,True,1,3.817055400000072
14,8,6,maximize-smallest-sum,False,0,0.0030440000000453438
14,8,6,maximize-smallest-sum,True,0,4.828999599999975
14,8,7,minimize-largest-sum,False,0,0.003971000000092317
14,8,7,minimize-largest-sum,True,0,3.04424599999993
14,8,7,maximize-smallest-sum,False,1,0.004124499999988984
14,8,7,maximize-smallest-sum,True,0,4.81466260000002
14,8,8,minimize-largest-sum,False,0,0.00279210000007879
14,8,8,minimize-largest-sum,True,0,3.260410699999966
14,8,8,maximize-smallest-sum,False,1,0.002948299999957271
14,8,8,maximize-smallest-sum,True,1,2.2493648999999323
14,8,9,minimize-largest-sum,False,1,0.0023080999999365304
14,8,9,minimize-largest-sum,True,0,5.660677499999906
14,8,9,maximize-smallest-sum,False,1,0.0029078000000026805
14,8,9,maximize-smallest-sum,True,0,3.3898329999999532
14,12,0,minimize-largest-sum,False,0,0.010774599999990642
14,12,0,maximize-smallest-sum,False,4,0.010565599999949882
14,12,1,minimize-largest-sum,False,1,0.010523199999965982
14,12,1,maximize-smallest-sum,False,2,0.011495100000047387
14,12,2,minimize-largest-sum,False,2,0.011053299999957744
14,12,2,maximize-smallest-sum,False,1,0.010247300000060022
14,12,3,minimize-largest-sum,False,1,0.010273299999994379
14,12,3,maximize-smallest-sum,False,4,0.011092800000028546
14,12,4,minimize-largest-sum,False,0,0.013949099999990722
14,12,4,maximize-smallest-sum,False,1,0.01001259999998183
14,12,5,minimize-largest-sum,False,5,0.010269600000015089
14,12,5,maximize-smallest-sum,False,3,0.010118300000044655
14,12,6,minimize-largest-sum,False,3,0.010422199999993609
14,12,6,maximize-smallest-sum,False,3,0.008969800000045325
14,12,7,minimize-largest-sum,False,1,0.011208699999997407
14,12,7,maximize-smallest-sum,False,5,0.009727699999984907
14,12,8,minimize-largest-sum,False,1,0.010140400000068439
14,12,8,maximize-smallest-sum,False,2,0.010324699999955556
14,12,9,minimize-largest-sum,False,1,0.010412100000053215
14,12,9,maximize-smallest-sum,False,0,0.008083300000066629
14,16,0,minimize-largest-sum,False,12,0.012521699999979319
14,16,0,maximize-smallest-sum,False,20,0.01280640000004496
14,16,1,minimize-largest-sum,False,41,0.014028599999960534
14,16,1,maximize-smallest-sum,False,3,0.012780099999986305
14,16,2,minimize-largest-sum,False,111,0.020585099999948397
14,16,2,maximize-smallest-sum,False,1,0.012628800000015872
14,16,3,minimize-largest-sum,False,4,0.011260799999945448
14,16,3,maximize-smallest-sum,False,44,0.012950799999998708
14,16,4,minimize-largest-sum,False,13,0.012476499999934276
