numitems,bitsperitem,algorithm,instance_id,diff,runtime
10,8,complete-karmarkar-karp-sy,6,3.0,0.0059993
10,8,complete-karmarkar-karp-sy,7,0.0,0.0031368
10,8,complete-karmarkar-karp-sy,8,0.0,0.000677
10,8,complete-karmarkar-karp-sy,9,1.0,0.0093529999999999
10,12,complete-karmarkar-karp-sy,0,3.0,0.0054408000000001
10,12,complete-karmarkar-karp-sy,1,68.0,0.0052724999999997
10,12,complete-karmarkar-karp-sy,2,20.0,0.005023
10,12,complete-karmarkar-karp-sy,3,35.0,0.0042327000000002
10,12,complete-karmarkar-karp-sy,4,0.0,0.0003264
10,12,complete-karmarkar-karp-sy,5,0.0,0.0053232000000003
10,12,complete-karmarkar-karp-sy,6,51.0,0.0054927999999998
10,12,complete-karmarkar-karp-sy,7,21.0,0.0022750999999998
10,12,complete-karmarkar-karp-sy,8,3.0,0.0050504
10,12,complete-karmarkar-karp-sy,9,10.0,0.0092370999999999
10,16,complete-karmarkar-karp-sy,0,532.0,0.0062022999999999
10,16,complete-karmarkar-karp-sy,1,444.0,0.0054349
10,16,complete-karmarkar-karp-sy,2,229.0,0.0045419999999998
10,16,complete-karmarkar-karp-sy,3,274.0,0.0047238000000002
10,16,complete-karmarkar-karp-sy,4,115.0,0.0029437999999997
10,16,complete-karmarkar-karp-sy,5,587.0,0.0067637
10,16,complete-karmarkar-karp-sy,6,97.0,0.0055170000000002
10,16,complete-karmarkar-karp-sy,7,137.0,0.0051652999999998
10,16,complete-karmarkar-karp-sy,8,930.0,0.00583
10,16,complete-karmarkar-karp-sy,9,31.0,0.0087014
10,20,complete-karmarkar-karp-sy,0,7974.0,0.0071334999999992
10,20,complete-karmarkar-karp-sy,1,2291.0,0.0043905999999998
10,20,complete-karmarkar-karp-sy,2,572.0,0.0051125
10,20,complete-karmarkar-karp-sy,3,1817.0,0.0045947999999995
10,20,complete-karmarkar-karp-sy,4,876.0,0.0047487000000003
10,20,complete-karmarkar-karp-sy,5,1380.0,0.0037003000000002
10,20,complete-karmarkar-karp-sy,6,607.0,0.0058733999999995
10,20,complete-karmarkar-karp-sy,7,2139.0,0.0059344000000001
10,20,complete-karmarkar-karp-sy,8,17375.0,0.0044190000000003
10,20,complete-karmarkar-karp-sy,9,13630.0,0.0020173000000003
12,4,complete-karmarkar-karp-sy,0,1.0,0.0211430999999997
12,4,complete-karmarkar-karp-sy,1,1.0,0.0196936999999994
12,4,complete-karmarkar-karp-sy,2,1.0,0.0154468000000003
12,4,complete-karmarkar-karp-sy,3,1.0,0.0271777000000001
12,4,complete-karmarkar-karp-sy,4,1.0,0.0165789000000007
12,4,complete-karmarkar-karp-sy,5,1.0,0.0192160000000001
12,4,complete-karmarkar-karp-sy,6,1.0,0.0181566000000001
12,4,complete-karmarkar-karp-sy,7,0.0,0.0003543000000005
12,4,complete-karmarkar-karp-sy,8,0.0,0.0003645000000007
12,4,complete-karmarkar-karp-sy,9,0.0,0.0003669999999997
