algorithm,numbins,numitems,bitsperitem,instance_id,runtime,diff
integer-programming,2,10,48,9,0.0586861999999994,0.0030880777953227
integer-programming,2,20,16,0,0.3427585000000004,2.8976268436150794e-06
integer-programming,2,20,16,1,0.5017199999999997,0.0
integer-programming,2,20,16,2,0.1888875999999992,0.0
integer-programming,2,20,16,3,0.2735827000000004,3.07842913917886e-06
integer-programming,2,20,16,4,0.3456628999999998,2.514458134272064e-06
integer-programming,2,20,16,5,0.4787303999999999,3.139618850271577e-06
integer-programming,2,20,16,6,0.2839164999999992,3.267375905063125e-06
integer-programming,2,20,16,7,0.3163869999999997,0.0
integer-programming,2,20,16,8,0.3083328999999999,3.7672161779331536e-06
integer-programming,2,20,16,9,0.1793407,0.0
integer-programming,2,20,32,0,1.625584700000001,2.493402202221537e-06
integer-programming,2,30,16,0,0.2345525999999989,0.0
integer-programming,2,30,16,1,0.3314972000000011,0.0
integer-programming,2,30,16,2,0.2557999999999989,0.0
integer-programming,2,30,16,3,0.6834748000000008,2.0051210792363696e-06
integer-programming,2,30,16,4,0.2225432000000005,0.0
integer-programming,2,30,16,5,0.3020677000000002,1.763892416673722e-06
integer-programming,2,30,16,6,0.3835651999999996,0.0
integer-programming,2,30,16,7,0.4369755000000008,2.009222330496981e-06
integer-programming,2,30,16,8,0.0795428999999998,2.220366982254827e-06
integer-programming,2,30,16,9,0.6713448,2.0185993746379137e-06
integer-programming,2,40,16,0,0.276110899999999,1.723499047766776e-06
integer-programming,2,40,16,1,0.3662513,0.0
integer-programming,2,40,16,2,0.3431172,1.4048416462496348e-06
integer-programming,2,40,16,3,0.3014836000000009,0.0
integer-programming,2,40,16,4,0.3639459,2.0842799438078127e-06
integer-programming,2,40,16,5,0.2194096000000001,1.5655773379549176e-06
integer-programming,2,40,16,6,0.4462416999999998,1.3815780384355011e-06
integer-programming,2,40,16,7,0.3008297999999998,0.0
integer-programming,2,40,16,8,0.2296971999999999,0.0
integer-programming,2,40,16,9,0.5906070999999997,0.0
integer-programming,2,50,16,0,0.2060500000000003,1.230334638718385e-06
integer-programming,2,50,16,1,0.3015985000000003,0.0
integer-programming,2,50,16,2,0.2881663000000003,1.648076365266461e-06
integer-programming,2,50,16,3,0.3071475000000001,1.2084212459789785e-06
integer-programming,2,50,16,4,0.2366536000000003,1.0928937860245115e-06
integer-programming,2,50,16,5,0.6766813999999997,1.1183855880359584e-06
integer-programming,2,50,16,6,1.5549299999999997,1.1458021818365146e-06
integer-programming,2,60,16,0,0.2921440000000004,0.0
integer-programming,2,60,16,1,0.1757049000000003,1.0127033508328472e-06
integer-programming,2,60,16,2,0.2986373000000002,0.0
integer-programming,2,60,16,3,0.1751180000000003,1.0055951313106122e-06
integer-programming,2,60,16,4,0.2880604000000009,9.42743421065036e-07
integer-programming,2,60,16,5,0.0397607000000004,0.0
